StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q1.4,Q1.5,Q0_11,Q1_11,Q2_11,Q3_11,Q4_11,Q5_11,Q6_11,Q7_11,Q8_11,Q9_11,Q10_11,Q11_11,Q12_11,Q13_11,Q14_11,validation_11,survey_code,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the questionnaire:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",Q0 - Indicate the  attitude of the robot on your right to the robot on your left,Q1 - Indicate the  attitude of the robot on your right to the robot on your left,Q2 - Indicate the  attitude of the robot on your right to the robot on your left,Q3 - Indicate the  attitude of the robot on your right to the robot on your left,Q4 - Indicate the  attitude of the robot on your right to the robot on your left,Q5 - Indicate the  attitude of the robot on your right to the robot on your left,Q6 - Indicate the  attitude of the robot on your right to the robot on your left,Q7 - Indicate the  attitude of the robot on your right to the robot on your left,Q8 - Indicate the  attitude of the robot on your right to the robot on your left,Q9 - Indicate the  attitude of the robot on your right to the robot on your left,Q10 - Indicate the  attitude of the robot on your right to the robot on your left,Q11 - Indicate the  attitude of the robot on your right to the robot on your left,Q12 - Indicate the  attitude of the robot on your right to the robot on your left,Q13 - Indicate the  attitude of the robot on your right to the robot on your left,Q14 - Indicate the  attitude of the robot on your right to the robot on your left,validation - Which direction the robot on your right is looking?,survey_code,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID114_11""}","{""ImportId"":""QID126_11""}","{""ImportId"":""QID128_11""}","{""ImportId"":""QID130_11""}","{""ImportId"":""QID132_11""}","{""ImportId"":""QID134_11""}","{""ImportId"":""QID136_11""}","{""ImportId"":""QID138_11""}","{""ImportId"":""QID140_11""}","{""ImportId"":""QID142_11""}","{""ImportId"":""QID144_11""}","{""ImportId"":""QID146_11""}","{""ImportId"":""QID148_11""}","{""ImportId"":""QID150_11""}","{""ImportId"":""QID152_11""}","{""ImportId"":""QID124_11""}","{""ImportId"":""survey_code""}","{""ImportId"":""B0""}","{""ImportId"":""B1""}","{""ImportId"":""B2""}","{""ImportId"":""B3""}","{""ImportId"":""B4""}","{""ImportId"":""B5""}","{""ImportId"":""B6""}","{""ImportId"":""B7""}","{""ImportId"":""B8""}","{""ImportId"":""B9""}","{""ImportId"":""B10""}","{""ImportId"":""B11""}","{""ImportId"":""B12""}","{""ImportId"":""B13""}","{""ImportId"":""B14""}"
2018-08-12 12:45:04,2018-08-12 12:53:38,IP Address,96.249.157.69,100,514,True,2018-08-12 12:53:39,R_2fiIx4yEIVdh2sK,,,,,40.27619934082,-76.788902282715,anonymous,EN,Agree,Male,26,"Associate degree (e.g. AA, AS)",50,45,50,50,46,50,50,50,50,50,47,50,50,50,50,0,72782540,1,1,,,,,1,,,,1,1,,1,1
2018-08-12 14:45:34,2018-08-12 14:50:07,IP Address,98.225.117.124,100,272,True,2018-08-12 14:50:08,R_27J4efyMMJBFuvn,,,,,32.29899597168,-110.83090209961,anonymous,EN,Agree,Male,28,"Bechelor's degree (e.g. BA, BS)",9,40,31,75,89,97,69,60,15,60,79,19,37,31,31,0,35316030,,,,1,1,1,,1,1,,1,,,,1
2018-08-12 18:44:32,2018-08-12 19:03:35,IP Address,68.47.84.142,100,1143,True,2018-08-12 19:03:35,R_1f9MPkbCmKuhGXR,,,,,44.830902099609,-93.459899902344,anonymous,EN,Agree,Male,30,"Bechelor's degree (e.g. BA, BS)",61,40,20,20,50,77,41,40,54,71,19,53,55,45,46,0,99101651,,1,1,,,1,,,1,1,,1,1,,
2018-08-12 22:15:36,2018-08-12 22:21:53,IP Address,210.139.47.117,100,376,True,2018-08-12 22:21:53,R_3KJfk8TzBSxPgT3,,,,,35.617904663086,139.6589050293,anonymous,EN,Agree,Male,29,"Some college, no degree",67,22,56,19,49,72,30,81,81,33,49,40,30,12,49,0,87786402,1,1,,1,1,,1,,,1,,,,1,
2018-08-13 06:00:33,2018-08-13 06:07:13,IP Address,75.187.69.219,100,400,True,2018-08-13 06:07:14,R_8HaE1fZzJ1zBFkZ,,,,,39.479202270508,-84.712997436523,anonymous,EN,Agree,Female,31,"Bechelor's degree (e.g. BA, BS)",29,27,39,42,55,75,45,81,63,48,24,44,45,19,72,0,42667128,1,,,,,1,,1,1,,,,1,1,1
2018-08-13 07:06:07,2018-08-13 07:12:14,IP Address,47.185.36.224,100,366,True,2018-08-13 07:12:14,R_Wr33H5scLXfIfxT,,,,,32.934600830078,-97.25170135498,anonymous,EN,Agree,Female,30,"Bechelor's degree (e.g. BA, BS)",15,36,46,46,51,74,51,51,29,51,27,51,49,3,51,0,57351924,,1,,,,,,1,1,,1,1,1,1,
2018-08-13 06:59:15,2018-08-13 07:24:59,IP Address,74.82.17.67,100,1544,True,2018-08-13 07:24:59,R_2dLOdTXpwULER3T,,,,,37.751007080078,-97.821998596191,anonymous,EN,Agree,Female,29,"Bechelor's degree (e.g. BA, BS)",62,33,37,55,66,61,60,66,60,44,61,65,65,68,44,0,44234024,,,1,1,1,,1,,,,1,1,,,1
2018-08-13 07:49:10,2018-08-13 07:50:23,IP Address,68.96.169.162,100,72,True,2018-08-13 07:50:24,R_Og3Bw58ovsHc4QF,,,,,36.197906494141,-115.26599884033,anonymous,EN,Agree,Male,31,"Associate degree (e.g. AA, AS)",90,86,91,80,37,91,92,63,91,90,83,84,83,67,82,86,88016786,1,,1,,1,1,1,,1,1,,,,,
